Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey
4850,485.0204,4490,145,0,4620,1759,2861,5,88,0.5265177,8.882759,8.631579,9.045455,True,False
4900,490.0207,4667,167,0,5801,1975,3826,1,109,0.6092204,10.03593,11.01724,9.513762,True,False
4950,495.021,4756,203,0,6953,2180,4773,0,140,0.498285,12.18719,12.06349,12.24286,True,False
5000,500.0213,4827,245,0,9370,3275,6095,8,157,0.5940496,10.69388,10.32955,10.89809,True,False
5050,505.0216,4926,288,0,10583,3766,6817,2,189,0.7047763,11.13889,10.9495,11.2381,True,False
5100,510.0219,4933,327,0,11881,4037,7844,4,217,0.7338626,10.65443,10.32727,10.82028,True,False
5150,515.0213,4909,392,0,14452,4592,9860,10,272,0.6722425,11.68112,11.55,11.73897,True,False
5200,520.0201,4842,454,0,16340,4143,12197,3,340,0.7559062,12.08811,10.61403,12.58235,True,False
5250,525.0189,4763,519,0,18927,5395,13532,8,374,0.8106924,12.46821,11.18621,12.96524,True,False
5300,530.0176,4611,611,0,21133,6405,14728,5,424,0.7276861,14.05074,14.01604,14.06604,True,False
5350,535.0164,4402,690,0,21646,7009,14637,5,469,0.8305695,15.0058,15.13122,14.9467,True,False
5400,540.0152,4125,788,0,23005,7975,15030,11,517,0.8014116,16.37564,17.77491,15.64217,True,False
5450,545.014,3785,890,0,21942,8328,13614,14,550,0.8115907,18.54157,19.32059,18.06,True,False
5500,550.0128,3455,978,0,23338,9496,13842,10,578,0.8023461,17.19121,17.0175,17.31142,True,False
5550,555.0115,3005,1100,0,23682,9621,14061,13,646,0.806096,18.21545,17.88326,18.44892,True,False
5600,560.0103,2561,1216,0,21179,10028,11151,11,643,0.7932914,19.03043,18.96684,19.08709,True,False
5650,565.0091,2078,1339,0,18951,9836,9115,16,639,0.8125907,18.38835,18.56143,18.19875,True,False
5700,570.0079,1631,1398,0,15663,8300,7363,14,634,0.8348016,20.82976,21.06152,20.55047,True,False
5750,575.0067,1200,1437,0,12206,7110,5096,7,594,0.8294837,18.26235,18.31198,18.19192,True,False
5800,580.0054,892,1410,0,8950,5779,3171,6,478,0.8842506,18.98227,18.88734,19.16736,True,False
5850,585.0042,598,1381,0,5355,3920,1435,8,359,0.8935458,21.2042,21.25245,21.06685,True,False
5900,590.003,429,1323,0,3519,2711,808,8,262,0.8928633,19.31066,19.38454,19.01145,True,False
5950,595.0018,287,1256,0,2366,1915,451,2,216,0.9148833,19.26433,19.25865,19.29167,True,False
6000,600.0005,206,1175,0,1501,1318,183,1,143,0.9236925,19.82468,19.76163,20.27972,True,False
6050,604.9993,157,1075,0,1131,1007,124,1,101,0.9334794,18.66884,18.71869,18.18812,True,False
6100,609.9981,122,982,0,775,704,71,3,68,0.918435,19.27393,19.26149,19.44118,True,False
6150,614.9969,74,913,0,395,372,23,0,48,0.9293025,19.24644,19.19653,20.14583,True,False
6200,619.9957,66,826,0,308,292,16,0,36,0.9474432,20.85714,20.73671,23.5,True,False
6250,624.9944,61,760,0,251,242,9,0,22,0.9621709,18.44737,18.46477,17.86364,True,False
